stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
BETHL_02,50B,48.6118826969,7.6869790256,Bethel,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHS_01,51A,48.5923160934,7.7613794804,Bethesda,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHS_02,51B,48.5923400431,7.7610549331,Bethesda,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BIGAR_01,52A,48.6145199039,7.7446165558,Bischheim Gare,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BIGAR_02,52B,48.6143937113,7.7451400459,Bischheim Gare,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BITCH_03,54B,48.6097705818,7.753252387,Bitche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BITCH_04,54A,48.6098140309,7.7530123293,Bitche,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BLAES_01,55A,48.5660968705,7.7033928037,Blaesheim,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BLAES_02,55B,48.5660950956,7.7035014331,Blaesheim,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BLOUE_02,737A,48.504345,7.600308,Blaesheim Ouest,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOECK_01,57A,48.5980654509,7.7780306339,Boecklin,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOECK_02,57B,48.5979726145,7.778252798,Boecklin,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOENS_01,808A,48.650612337,7.7239952295,Boulevard des Enseignes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOENS_02,808B,48.6506115924,7.7236726988,Boulevard des Enseignes,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BOHRI_03,58C,48.549394,7.701817,Bohrie,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
